model_name,Fraction inside ellipse (center 0 0; a=10; b=30)
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MACE_Phi_MACE_Topology_MAE,0.760426
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Mom_X_MAPE_Mom_Y_MAPE_Mom_Z_MAPE_Topology_MAE,0.76029
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MAE_Topology_MAE,0.760236
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MSE_Phi_MAE_Topology_MAE,0.759694
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAPE_Nu_Theta_MSE_Nu_Phi_MSE_Topology_MAE,0.759376
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MAPE_Phi_MACE_Topology_MAE,0.759272
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MAPE_Topology_MAE,0.759198
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Mom_X_MSE_Mom_Y_MSE_Mom_Z_MSE_Topology_MAE,0.758895
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MAPE_Phi_MSE_Topology_MAE,0.757057
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_Theta_MSE_Topology_MAE,0.7566
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_Theta_MAE_Nu_Phi_MAE_Topology_MAE,0.754471
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MAPE_Phi_MAE_Topology_MAE,0.753983
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MAPE_Phi_MACE_Topology_MAE,0.753535
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MAPE_Phi_MSE_Topology_MAE,0.753032
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MACE_Phi_MAE_Topology_MAE,0.752517
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MAPE_Phi_MAPE_Topology_MAE,0.752353
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_Theta_MAPE_Nu_Phi_MAPE_Topology_MAE,0.752308
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MAE_Topology_MAE,0.750824
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MACE_Topology_MAE,0.748347
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAE_Nu_MomX_MACE_Nu_MomY_MACE_Nu_MomZ_MACE_Topology_MAE,0.747674
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_ScalarLeptwNC_eventnum_All_NpNpi_Nu_Energy_MAPE_Nu_Theta_MSE_Topology_MAE,0.746766
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MAPE_Topology_MAE,0.745595
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MSE_Theta_MACE_Phi_MACE_Topology_MAE,0.74382
